msg_bits,message,received,decoded,pass
40,1010000100110010110111101110110011110111,11110100101100111110000001010011011101101110011010111010101101010001100110101110100111,1010000100110010110111101110110011110111,1
40,0010001011110000011101011100001011100011,00001101101111110111100110011100001100101010000111101001110011110111101001111100010111,0010001011110000011101011100001011100011,1
40,0100000101001101010000100110110010110011,00111110110000111101001000000110000100101100111110000001101111010011011101010000010111,0100000101001101010000100110110010110011,1
40,0101011001011110111100011100000111110110,00111101000111010100110111100110101110011001111100111001110000110010010110101101011100,0101011001011110111100011100000111110110,1
40,1101000100001101100011001000110111101001,11000110001011111110110011000110110101111100000100111011110001101110011010001000111011,1101000100001101100011001000110111101001,1
40,0001101010101011011000100000100010110001,00000111000110000100010001000111011011010111111110110000111110111111011101011111111011,0001101010101011011000100000100010110001,1
40,0010010101001010011000110100010100100011,00001101100011010001001000110100100000010111110001100010111111010010001110111100010111,0010010101001010011000110100010100100011,1
40,1110010110101000101001011111011010001100,11001010010011011101100001011011111101001000110111100101101011011000101111000101110000,1110010110101000101001011111011010001100,1
40,0111101101011110101010111111011011100100,00110010011010110110000111100110100000000100011110010101101011011011101001001110110000,0111101101011110101010111111011011100100,1
40,1000100110001011110001111011011100010010,11111011111110000001011111110111100110011111001001101011011011101001011111100011101100,1000100110001011110001111011011100010010,1
40,1011101000101100000111101011110100001100,11111111101010001011111101110101110000110010011010000111100110100010110011000101110000,1011101000101100000111101011110100001100,1
40,1010001111110000010100101000001011101100,11110100101011001001010110011100001111010010001101001011000011110111101010110101110000,1010001111110000010100101000001011101100,1
40,1100000000011110110100111100111000000001,11000101110000000000001100100110101101100010000110011001000010100111000000000011111011,1100000000011110110100111100111000000001,1
40,1110110110110110011111000111101101110111,11001010101101101101101101101101010000100101101111110010011010110110111010101110100111,1110110110110110011111000111101101110111,1
40,1010010100010011000101011010011111011001,11110100100011010010111111100000010111111101000111011000100000100101101011010000111011,1010010100010011000101011010011111011001,1
40,0100110101011011011011111100110101111010,00111110000001100001000111011011011011011011100101011011000001100001111001101000101100,0100110101011011011011111100110101111010,1
40,1000110011011000000000000011101100111001,11111011110001110000011011010111000000000000000000001100101010110101000010100100111011,1000110011011000000000000011101100111001,1
40,1111001100110101010110001011111010100111,11001001100100000101000001000001000100011101011111110111100101101000010010000010100111,1111001100110101010110001011111010100111,1
40,0110110001101010110101000001001011111011,00110001101101011111000110000100011101100001001011000011111000010111100101101011010111,0110110001101010110101000001001011111011,1
40,1110001101101010011110100110011101110011,11001010011111000110110110001100100000100110100010000001010000101010111010010000010111,1110001101101010011110100110011101110011,1
40,1111000111011010011011111000010100100011,11001001100111110010001011011000100000011011100101100111001111010010001110111100010111,1111000111011010011011111000010100100011,1
40,1100111110000001000011001110011001101111,11000101000010010110011100000010111011001100010100001010010000010100000110111001100111,1100111110000001000011001110011001101111,1
40,1010010111100101110110100000001100110000,11110100100011011110011001001101111010101101100010110000000011000101010001011100000000,1010010111100101110110100000001100110000,1
40,0010101000001001101001100101010001111111,00001111010001001011000011111000000110001100000101001101000100101111001001010101100111,0010101000001001101001100101010001111111,1
40,1100010000111111010001001100110000001110,11000101111111101100110010010101101010101111111000000101000001011100000011001010011100,1100010000111111010001001100110000001110,1
40,1000110110101100010010010110110000110101,11111011110001101101100001110101111111100111100011011101101101011100110001100001001011,1000110110101100010010010110110000110101,1
40,0001110100110001001110000011001011001101,00000011001010100010000001011111111000000010011100001100010100110111010100000110001011,0001110100110001001110000011001011001101,1
40,0000101000100000111001010111000101000111,00000000111101001011111100110000110010100100110100011110100111111101001011110010100111,0000101000100000111001010111000101000111,1
40,1011011001010110110100101011101100001000,11110111011011010100110100011101101101100010001101001111101010110101110011111011000000,1011011001010110110100101011101100001000,1
40,1010101011000100110111011110011111101010,11110100010001000111010111111110000001101100101011100110010000100101011010000100101100,1010101011000100110111011110011111101010,1
40,1000100010000101000110111101010001111011,11101011111110111111101100111101001011110001101110011010000100101111001001101011010111,1000100010000101000110111101010001111011,1
40,1110111100100101011000111110101100001111,11001010001110011001001110001101000111010111110010010110100001110101110011001001100111,1110111100100101011000111110101100001111,1
40,0110001011000101100011011000011011001111,00110001011111110111010111111101110101111100011011010111001100011011010100001001101111,0110001011000101100011011000011011001111,1
40,1111010001101111111000110001011010000000,11001001101000101111000110111001010101100111110001011111110111010000101100000000000000,1111010001101111111000110001011010000000,1
40,1001111011101101110010001100100101110010,11111000001001101011101010110110111010010011101111000101001111001101111010010011101100,1001111011101101110010001100100101110010,1
40,0010110000100001111011111010100111000010,00001111011101011100111110010011001001101011100101101000010010000010100111001111101100,0010110000100001111011111010100111000010,1
40,1101010010100001001000110000000000000101,11000110000100100011010010110011111001111011110001011100000000000000000000111101001011,1101010010100001001000110000000000000101,1
40,0010101110010010001111010001011001010111,00101111010001111010010011100011101111001001101000101111110111010100110100011110100111,0010101110010010001111010001011001010111,1
40,1010100011100011100011000110010101110001,11100100010010111100101001111100101001111100010111110001010011010001111010011111111011,1010100011100011100011000110010101110001,1
40,1001110100100001111010101011101100100110,11111000001010100010001110110011001001101000010001000111101010110100001110000001011100,1001110100100001111010101011101100100110,1
40,0101100000001011011011011000101000100110,01111101110101110000000011110111011011011011011011010111111101001011111110000001011100,0101100000001011011011011000101000100110,1
40,1000111010101110011110110000101111100111,11111011110010101000010011111010010000100110101101011100111101111001011001000010100111,1000111010101110011110110000101111100111,1
40,0010111000010101101110101101110101111110,00001111011110100011001111010001110110111010100001110110111010100001111001010110011100,0010111000010101101110101101110101111110,1
40,1010111111100000010100011011010110101101,11110100011110010101011001110000001111010010111100011011011000011101100001110110001010,1010111111100000010100011011010110101101,1
40,0110011011110000100101010001111001111100,00110001010000011011100110011100111110001101000100101111001011100100001001011001110000,0110011011110000100101010001111001111100,1
40,1010010101000100100001101110000110100000,11110100100011010001001011111110001110110011000110111010011100110001100010100000000000,1010010101000100100001101110000110100000,1
40,0101011101111111111010001101111001011111,00111101000111101010111001011101010101101000101111000110111001100100110111100101100111,0101011101111111111010001101111001011111,1
40,1101101000110100100000110110000010100001,11000110110110001001110001100010001110110000110001101101011100001111010010110011111011,1101101000110100100000110110000010100001,1
40,1011101100100100010100110001010010110001,11110111101010110101001110001110111111010010000001011111110100100011011100011111111011,1011101100100100010100110001010010110001,1
40,0010011001101000010110111110100101100001,00001111100000010100000110001011001111011101101110010110100010001101110101110011110011,0010011001101000010110111110100101100001,1
40,0110011000011110100100110011100010100110,00110001010000010111001100100110100010001110000001010000101001111011010010000001011100,0110011000011110100100110011100010100110,1
40,1010000001001110001110100001010000111111,11100100101100000011111000001010011111001010100010110011110100101100110010010101100111,1010000001001110001110100001010000111111,1
40,0111000010110101001101011110010001111000,00111010100111001111011101100001001000000110000111100110010011101111001001100111000000,0111000010110101001101011110010001111000,1
40,1110010111101010010111110010000011000000,11001010010011011110011010000100100011011110010110010001101100001100010111000000000000,1110010111101010010111110010000011000000,1
40,0010110001110111111100111100001110000111,00001111011101011111001010101110010100011001000010011001110011001010011100110010100111,0010110001110111111100111100001110000111,1
40,0100011101100101100001111011011001101100,00111110111100101010110101001101110101110011000001101011011011010100000110110101110000,0100011101100101100001111011011001101100,1
40,0101110100100011111011011111011000110101,00111101111010100011001110111100100101101011011011100101101011010111110001100001001011,0101110100100011111011011111011000110101,1
40,0011001100101010000110011001111110001000,00001100010100000101001101000100101100110001010000010100001001010110011011111011000000,0011001100101010000110011001111110001000,1
40,1100101000110111101110100000011110010001,11000101001101001011110001101110011010111010100000110000001100100110010011101111111011,1100101000110111101110100000011110010001,1
40,0111000100100101110110110101011101100010,00110010100111111110001110001101111010101101101101100001000101101010110101111111101100,0111000100100101110110110101011101100010,1
40,1100100101101111110011110010011110110011,11000101001110001101110110111001010110010000100110010011100000100110101001010000010111,1100100101101111110011110010011110110011,1
40,0001101001011010101001011011001111001001,00000011000111001000110111011000010001001000110111011011010100001001100100111000111011,0001101001011010101001011011001111001001,1
40,0111101100001001011001111000110000001101,00110010011010110101110011111000110111010100001001100111110001001100000011000110001011,0111101100001001011001111000110000001101,1
40,1100110011001111111010001001011000011000,11000101000001010000010100001001010101101000101111011000110111010111001100010111000000,1100110011001111111010001001011000011000,1
40,1000001101110001110001011001000001001111,11011011000011000110111010011111001010011111110111010100111011000011111000001001100111,1000001101110001110001011001000001001111,1
40,0010101010010011110111011111110110101010,00001111010001000100100011100000100110101110101011100101010110101101110001000100101100,0010101010010011110111011111110110101010,1
40,1001101011000100010011101011111001011001,11110000000110000111010111111110111111100000101010000111100101100100110111010100111011,1001101011000100010011101011111001011001,1
40,0011100101110001000001111101100011101110,00001110101001001101111010011111111011000011001001011010110101111100101010111010011100,0011100101110001000001111101100011101110,1
40,1111011101000000100111100000101100111001,11001001101011101010001011000000111110000010011001110000111101110101001010100100111011,1111011101000000100111100000101100111001,1
40,0111010101101010101100101111101101010011,00110010101000010001110110000100010001110101001001111001011010110110000100100000010111,0111010101101010101100101111101101010011,1
40,0110001110000000000101010100000010111001,00110001011111001110011100000000000000111101000100010010110000001111011110100100111011,0110001110000000000101010100000010111001,1
40,1111100000101011000111010100100011011101,11001001011001110000011101000111010111110010101000010010001110111100011011101010001011,1111100000101011000111010100100011011101,1
